?û³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼??û	¶ÔÓ¦Îï¼?Ë÷??	¿í¶È	¸ß¶È	Ëµ?÷ÎÄ×Ö	Îå??Êô?Ô	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµ?·Å	½Å±¾?û(²ÎÊ?1)	¼¼ÄÜID£¨²ÎÊ?1£©	²ÎÊ?2(ÊÍ·¨Àà?Í)	²ÎÊ?3(ÊÇ·ñ¹?²¥)	²ÎÊ?4(ÊÇ·ñÓ?µÈ¼¶¸ÅÄî)	²ÎÊ?5(ÊÇ·ñ¿É·Å¿?½?À¸)	Target	ÎïÆ·×î´óµ?·ÅÖµ	?ªÇóµÈ¼¶ÏàÍ¬	?ªÇóÎå??ÏàÍ¬	?ªÇó??ÔËÏàÍ¬	?ªÇóMagicLevel1ÏàÍ¬	?ªÇóMagicLevel2ÏàÍ¬	?ªÇóMagicLevel3ÏàÍ¬	?ªÇóMagicLevel4ÏàÍ¬	?ªÇóMagicLevel5ÏàÍ¬	?ªÇóMagicLevel6ÏàÍ¬	µÀ¾ß¶îÍâ²ÎÊ?1	µÀ¾ß¶îÍâ²ÎÊ?2	µÀ¾ß¶îÍâ²ÎÊ?3	µÀ¾ß¶îÍâ²ÎÊ?4	µÀ¾ß¶îÍâ²ÎÊ?5	µÀ¾ß¶îÍâ²ÎÊ?6
VËt phÈm kü n¨ng	6	0	0	\spr\item\questkey\taskobj017.spr	9	1	1	Kü n¨ng ¬i! Kü n¨ng ¬i!		100	1	1	28	141	1	1	1	1		0	0	0	0	0	0	0	0	0	0						
B¶o r­¬ng	6	1	0	\spr\item\script\item_goldenbox.spr	367	2	2	Bªn trong chøa 1 b¶o vËt ngÉu nhiªn		2000	1	0	\script\item\baowubox.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Tr­êng MÖnh hoµn	6	0	1	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi 5 phót, sinh lùc t¨ng tèi ®a: 500 ®iÓm"		50	1	0	0	256	1	1	0	1		0	0	0	0	0	0	0	0	0	0						
Gia Bµo hoµn	6	0	2	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi 5 phót, tèc ®é di chuyÓn t¨ng: 20%"		50	1	0	0	257	1	1	0	1		0	0	0	0	0	0	0	0	0	0						
§¹i Lùc hoµn	6	0	3	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi 5 phót, c«ng k?ch vËt l? t¨ng: 100 ®iÓm"		50	1	0	0	258	1	1	0	1		0	0	0	0	0	0	0	0	0	0						
Cao ThiÓm hoµn	6	0	4	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi 5 phót, t¨ng ®é c«ng k?ch ch?nh x¸c: 500 ®iÓm"		50	1	0	0	259	1	1	0	1		0	0	0	0	0	0	0	0	0	0						
Cao Trung hoµn	6	0	5	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi 5 phót, t¨ng ®é c«ng k?ch ch?nh x¸c: 500 ®iÓm"		50	1	0	0	260	1	1	0	1		0	0	0	0	0	0	0	0	0	0						
Phi Tèc hoµn	6	0	6	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi 5 phót, t¨ng tèc ®éc c«ng k?ch: 50%"		50	1	0	0	261	1	1	0	1		0	0	0	0	0	0	0	0	0	0						
B¨ng Phßng hoµn	6	0	7	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi 5 phót, t¨ng phßng ngù: 50%"		50	1	0	0	262	1	1	0	1		0	0	0	0	0	0	0	0	0	0						
L«i Phßng hoµn	6	0	8	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi 5 phót, t¨ng phßng L«i: 50%"		50	1	0	0	263	1	1	0	1		0	0	0	0	0	0	0	0	0	0						
